name,position,nationality,team,season
Valentino Lazaro,Midfielder,Austria,Newcastle United,2020/21
Nabil Bentaleb,Midfielder,Algeria,Newcastle United,2020/21
Matty Longstaff,Midfielder,England,Newcastle United,2020/21
Thomas Allan,Forward,England,Newcastle United,2020/21
Elias Sørensen,Forward,Denmark,Newcastle United,2020/21
Lewis Cass,Defender,England,Newcastle United,2020/21
Jack Young,Midfielder,England,Newcastle United,2020/21
Jeff Hendrick,Midfielder,Ireland,Newcastle United,2020/21
Callum Wilson,Forward,England,Newcastle United,2020/21
Ryan Fraser,Midfielder,Scotland,Newcastle United,2020/21
Jamal Lewis,Defender,Northern Ireland,Newcastle United,2020/21
Daniel Langley,Goalkeeper,England,Newcastle United,2020/21
Henri Saivet,Midfielder,Senegal,Newcastle United,2020/21
Daniel Barlaser,Midfielder,England,Newcastle United,2020/21
Joe Willock,Midfielder,England,Newcastle United,2020/21
Elliot Anderson,Midfielder,Scotland,Newcastle United,2020/21
Ben Woodburn,Forward,Wales,Liverpool,2020/21
Ederson Moraes,Goalkeeper,Brazil,Manchester City,2020/21
Nathan Aké,Defender,Netherlands,Manchester City,2020/21
Pedro Porro,Defender,Spain,Manchester City,2020/21
Kyle Walker,Defender,England,Manchester City,2020/21
John Stones,Defender,England,Manchester City,2020/21
Oleksandr Zinchenko,Defender,Ukraine,Manchester City,2020/21
Aymeric Laporte,Defender,Spain,Manchester City,2020/21
Benjamin Mendy,Defender,France,Manchester City,2020/21
João Cancelo,Defender,Portugal,Manchester City,2020/21
Nicolás Otamendi,Defender,Argentina,Manchester City,2020/21
Eric García,Defender,Spain,Manchester City,2020/21
Ilkay Gündogan,Midfielder,Germany,Manchester City,2020/21
Rodri,Midfielder,Spain,Manchester City,2020/21
Kevin De Bruyne,Midfielder,Belgium,Manchester City,2020/21
Bernardo Silva,Midfielder,Portugal,Manchester City,2020/21
David Silva,Midfielder,Spain,Manchester City,2020/21
Fernandinho,Midfielder,Brazil,Manchester City,2020/21
Phil Foden,Midfielder,England,Manchester City,2020/21
Tommy Doyle,Midfielder,England,Manchester City,2020/21
Ferran Torres,Forward,Spain,Manchester City,2020/21
Raheem Sterling,Forward,England,Manchester City,2020/21
Gabriel Jesus,Forward,Brazil,Manchester City,2020/21
Sergio Agüero,Forward,Argentina,Manchester City,2020/21
Riyad Mahrez,Forward,Algeria,Manchester City,2020/21
Erik Palmer-Brown,Defender,United States,Manchester City,2020/21
Alpha Diounkou,Defender,Senegal,Manchester City,2020/21
Cole Palmer,Midfielder,England,Manchester City,2020/21
Taylor Harwood-Bellis,Defender,England,Manchester City,2020/21
Adrián Bernabé,Midfielder,Spain,Manchester City,2020/21
Leroy Sané,Forward,Germany,Manchester City,2020/21
Zack Steffen,Goalkeeper,United States,Manchester City,2020/21
Pablo Moreno,Forward,Spain,Manchester City,2020/21
Liam Delap,Forward,England,Manchester City,2020/21
Felix Nmecha,Midfielder,Germany,Manchester City,2020/21
Rúben Dias,Defender,Portugal,Manchester City,2020/21
Scott Carson,Goalkeeper,England,Manchester City,2020/21
James Trafford,Goalkeeper,England,Manchester City,2020/21
Mikkel Diskerud,Midfielder,United States,Manchester City,2020/21
Luke Mbete,Defender,England,Manchester City,2020/21
Claudio Gomes,Midfielder,France,Manchester City,2020/21
Arijanet Muric,Goalkeeper,Kosovo,Manchester City,2020/21
Roberto Jiménez,Goalkeeper,Spain,West Ham United,2020/21
David Martin,Goalkeeper,England,West Ham United,2020/21
Darren Randolph,Goalkeeper,Ireland,West Ham United,2020/21
Aaron Cresswell,Defender,England,West Ham United,2020/21
Fabián Balbuena,Defender,Paraguay,West Ham United,2020/21
Gonçalo Cardoso,Defender,Portugal,West Ham United,2020/21
Angelo Ogbonna,Defender,Italy,West Ham United,2020/21
Issa Diop,Defender,France,West Ham United,2020/21
Ryan Fredericks,Defender,England,West Ham United,2020/21
Arthur Masuaku,Defender,DR Congo,West Ham United,2020/21
Ben Johnson,Defender,England,West Ham United,2020/21
Felipe Anderson,Midfielder,Brazil,West Ham United,2020/21
Manuel Lanzini,Midfielder,Argentina,West Ham United,2020/21
Robert Snodgrass,Midfielder,Scotland,West Ham United,2020/21
Mark Noble,Midfielder,England,West Ham United,2020/21
Pablo Fornals,Midfielder,Spain,West Ham United,2020/21
Jack Wilshere,Midfielder,England,West Ham United,2020/21
Michail Antonio,Forward,Jamaica,West Ham United,2020/21
Declan Rice,Midfielder,England,West Ham United,2020/21
Andrii Yarmolenko,Forward,Ukraine,West Ham United,2020/21
Jarrod Bowen,Forward,England,West Ham United,2020/21
Sébastien Haller,Forward,Cote D’Ivoire,West Ham United,2020/21
Albian Ajeti,Forward,Switzerland,West Ham United,2020/21
Joseph Anang,Goalkeeper,England,West Ham United,2020/21
Bernardo Rosa,Midfielder,Brazil,West Ham United,2020/21
Alfie Lewis,Midfielder,England,West Ham United,2020/21
Nathan Trott,Goalkeeper,England,West Ham United,2020/21
Josh Cullen,Midfielder,Ireland,West Ham United,2020/21
Xande Silva,Forward,Portugal,West Ham United,2020/21
Aji Alese,Defender,England,West Ham United,2020/21
Harrison Ashby,Defender,Scotland,West Ham United,2020/21
Conor Coventry,Midfielder,Ireland,West Ham United,2020/21
Emmanuel Longelo,Forward,England,West Ham United,2020/21
Vladimír Coufal,Defender,Czech Republic,West Ham United,2020/21
Tomás Soucek,Midfielder,Czech Republic,West Ham United,2020/21
Craig Dawson,Defender,England,West Ham United,2020/21
Saïd Benrahma,Forward,Algeria,West Ham United,2020/21
Frederik Alves,Defender,Denmark,West Ham United,2020/21
Jamal Baptiste,Defender,England,West Ham United,2020/21
Nathan Holland,Midfielder,England,West Ham United,2020/21
Mipo Odubeko,Forward,Ireland,West Ham United,2020/21
Oladapo Afolayan,Forward,England,West Ham United,2020/21
Jesse Lingard,Midfielder,England,West Ham United,2020/21
Paulo Gazzaniga,Goalkeeper,Argentina,Tottenham Hotspur,2020/21
Toby Alderweireld,Defender,Belgium,Tottenham Hotspur,2020/21
Davinson Sánchez,Defender,Colombia,Tottenham Hotspur,2020/21
Juan Foyth,Defender,Argentina,Tottenham Hotspur,2020/21
Sèrge Aurier,Defender,Cote D’Ivoire,Tottenham Hotspur,2020/21
Ben Davies,Defender,Wales,Tottenham Hotspur,2020/21
Cameron Carter-Vickers,Defender,United States,Tottenham Hotspur,2020/21
Japhet Tanganga,Defender,England,Tottenham Hotspur,2020/21
Harry Winks,Midfielder,England,Tottenham Hotspur,2020/21
Érik Lamela,Midfielder,Argentina,Tottenham Hotspur,2020/21
Eric Dier,Defender,England,Tottenham Hotspur,2020/21
Moussa Sissoko,Midfielder,France,Tottenham Hotspur,2020/21
Ryan Sessegnon,Midfielder,England,Tottenham Hotspur,2020/21
Dele Alli,Midfielder,England,Tottenham Hotspur,2020/21
Lucas Moura,Forward,Brazil,Tottenham Hotspur,2020/21
Tanguy Ndombélé,Midfielder,France,Tottenham Hotspur,2020/21
Oliver Skipp,Midfielder,England,Tottenham Hotspur,2020/21
Gedson Fernandes,Midfielder,Portugal,Tottenham Hotspur,2020/21
Jack Clarke,Forward,England,Tottenham Hotspur,2020/21
Son Heung-Min,Forward,South Korea,Tottenham Hotspur,2020/21
Harry Kane,Forward,England,Tottenham Hotspur,2020/21
Steven Bergwijn,Forward,Netherlands,Tottenham Hotspur,2020/21
Troy Parrott,Forward,Ireland,Tottenham Hotspur,2020/21
Malachi Fagan-Walcott,Defender,England,Tottenham Hotspur,2020/21
Jan Vertonghen,Defender,Belgium,Tottenham Hotspur,2020/21
Michel Vorm,Goalkeeper,Netherlands,Tottenham Hotspur,2020/21
Dennis Cirkin,Defender,England,Tottenham Hotspur,2020/21
Pierre-Emile Højbjerg,Midfielder,Denmark,Tottenham Hotspur,2020/21
Joe Hart,Goalkeeper,England,Tottenham Hotspur,2020/21
Dane Scarlett,Forward,England,Tottenham Hotspur,2020/21
Jamie Bowden,Midfielder,Ireland,Tottenham Hotspur,2020/21
Harvey White,Midfielder,England,Tottenham Hotspur,2020/21
Alfie Devine,Midfielder,England,Tottenham Hotspur,2020/21
Matt Doherty,Defender,Ireland,Tottenham Hotspur,2020/21
Jubril Okedina,Defender,Malawi,Tottenham Hotspur,2020/21
George Marsh,Midfielder,England,Tottenham Hotspur,2020/21
Alfie Whiteman,Goalkeeper,England,Tottenham Hotspur,2020/21
Brandon Austin,Goalkeeper,England,Tottenham Hotspur,2020/21
Sergio Reguilón,Defender,Spain,Tottenham Hotspur,2020/21
Gareth Bale,Forward,Wales,Tottenham Hotspur,2020/21
Carlos Vinícius,Forward,Brazil,Tottenham Hotspur,2020/21
Joe Rodon,Defender,Wales,Tottenham Hotspur,2020/21
Giovani Lo Celso,Midfielder,Argentina,Tottenham Hotspur,2020/21
Marcel Lavinier,Defender,England,Tottenham Hotspur,2020/21
Nile John,Midfielder,England,Tottenham Hotspur,2020/21
Rui Patrício,Goalkeeper,Portugal,Wolverhampton Wanderers,2020/21
John Ruddy,Goalkeeper,England,Wolverhampton Wanderers,2020/21
Matt Doherty,Defender,Ireland,Wolverhampton Wanderers,2020/21
Willy-Arnaud Boly,Defender,Cote D’Ivoire,Wolverhampton Wanderers,2020/21
Conor Coady,Defender,England,Wolverhampton Wanderers,2020/21
Jonny,Defender,Spain,Wolverhampton Wanderers,2020/21
Rúben Vinagre,Defender,Portugal,Wolverhampton Wanderers,2020/21
Maximilian Kilman,Defender,England,Wolverhampton Wanderers,2020/21
Oskar Buur,Defender,Denmark,Wolverhampton Wanderers,2020/21
Bruno Jordão,Midfielder,Portugal,Wolverhampton Wanderers,2020/21
Rúben Neves,Midfielder,Portugal,Wolverhampton Wanderers,2020/21
Daniel Podence,Midfielder,Portugal,Wolverhampton Wanderers,2020/21
Morgan Gibbs-White,Midfielder,England,Wolverhampton Wanderers,2020/21
Romain Saïss,Midfielder,Morocco,Wolverhampton Wanderers,2020/21
João Moutinho,Midfielder,Portugal,Wolverhampton Wanderers,2020/21
Leander Dendoncker,Midfielder,Belgium,Wolverhampton Wanderers,2020/21
Pedro Neto,Forward,Portugal,Wolverhampton Wanderers,2020/21
Raúl Jiménez,Forward,Mexico,Wolverhampton Wanderers,2020/21
Diogo Jota,Forward,Portugal,Wolverhampton Wanderers,2020/21
Leonardo Campana,Forward,Ecuador,Wolverhampton Wanderers,2020/21
Adama Traoré,Forward,Spain,Wolverhampton Wanderers,2020/21
Austin Samuels,Forward,England,Wolverhampton Wanderers,2020/21
Chem Campbell,Midfielder,Wales,Wolverhampton Wanderers,2020/21
Luke Cundle,Midfielder,England,Wolverhampton Wanderers,2020/21
Owen Otasowie,Midfielder,United States,Wolverhampton Wanderers,2020/21
Taylor Perry,Midfielder,England,Wolverhampton Wanderers,2020/21
Meritan Shabani,Midfielder,Germany,Wolverhampton Wanderers,2020/21
Andreas Söndergaard,Goalkeeper,Denmark,Wolverhampton Wanderers,2020/21
Lewis Richards,Defender,Ireland,Wolverhampton Wanderers,2020/21
Terry Taylor,Midfielder,Wales,Wolverhampton Wanderers,2020/21
Ryan Giles,Midfielder,England,Wolverhampton Wanderers,2020/21
Christian Marques,Defender,Portugal,Wolverhampton Wanderers,2020/21
Marçal,Defender,Brazil,Wolverhampton Wanderers,2020/21
Fábio Silva,Forward,Portugal,Wolverhampton Wanderers,2020/21
Vitinha,Midfielder,Portugal,Wolverhampton Wanderers,2020/21
Ki-Jana Hoever,Defender,Netherlands,Wolverhampton Wanderers,2020/21
Nélson Semedo,Defender,Portugal,Wolverhampton Wanderers,2020/21
Rayan Aït-Nouri,Defender,Algeria,Wolverhampton Wanderers,2020/21
Theo Corbeanu,Forward,Canada,Wolverhampton Wanderers,2020/21
Patrick Cutrone,Forward,Italy,Wolverhampton Wanderers,2020/21
Nigel Lonwijk,Defender,Netherlands,Wolverhampton Wanderers,2020/21
Willian José,Forward,Brazil,Wolverhampton Wanderers,2020/21
Hugo Bueno,Defender,Spain,Wolverhampton Wanderers,2020/21
Bernd Leno,Goalkeeper,Germany,Arsenal,2019/20
Héctor Bellerín,Defender,Spain,Arsenal,2019/20
Sokratis Papastathopoulos,Defender,Greece,Arsenal,2019/20
Laurent Koscielny,Defender,France,Arsenal,2019/20
Stephan Lichtsteiner,Defender,Switzerland,Arsenal,2019/20
Rob Holding,Defender,England,Arsenal,2019/20
Nacho Monreal,Defender,Spain,Arsenal,2019/20
Shkodran Mustafi,Defender,Germany,Arsenal,2019/20
Carl Jenkinson,Defender,England,Arsenal,2019/20
Konstantinos Mavropanos,Defender,Greece,Arsenal,2019/20
Sead Kolasinac,Defender,Bosnia & Herzegovina,Arsenal,2019/20
Zech Medley,Defender,England,Arsenal,2019/20
Julio Pleguezuelo,Defender,Spain,Arsenal,2019/20
Mohamed Elneny,Midfielder,Egypt,Arsenal,2019/20
Henrikh Mkhitaryan,Midfielder,Armenia,Arsenal,2019/20
Aaron Ramsey,Midfielder,Wales,Arsenal,2019/20
Mesut Özil,Midfielder,Germany,Arsenal,2019/20
Lucas Torreira,Midfielder,Uruguay,Arsenal,2019/20
Ainsley Maitland-Niles,Midfielder,England,Arsenal,2019/20
Alex Iwobi,Midfielder,Nigeria,Arsenal,2019/20
Denis Suárez,Midfielder,Spain,Arsenal,2019/20
Mattéo Guendouzi,Midfielder,France,Arsenal,2019/20
Granit Xhaka,Midfielder,Switzerland,Arsenal,2019/20
Joe Willock,Midfielder,England,Arsenal,2019/20
Alexandre Lacazette,Forward,France,Arsenal,2019/20
Pierre-Emerick Aubameyang,Forward,Gabon,Arsenal,2019/20
Danny Welbeck,Forward,England,Arsenal,2019/20
Eddie Nketiah,Forward,England,Arsenal,2019/20
Tyreece John-Jules,Forward,England,Arsenal,2019/20
Dilan Markanday,Forward,England,Tottenham Hotspur,2020/21
Bukayo Saka,Forward,England,Arsenal,2019/20
Emile Smith Rowe,Midfielder,England,Arsenal,2019/20
Emiliano Martínez,Goalkeeper,Argentina,Arsenal,2019/20
David Ospina,Goalkeeper,Colombia,Arsenal,2019/20
Calum Chambers,Defender,England,Arsenal,2019/20
Matt Macey,Goalkeeper,England,Arsenal,2019/20
Dominic Thompson,Defender,England,Arsenal,2019/20
Gabriel Martinelli,Forward,Brazil,Arsenal,2019/20
James Olayinka,Midfielder,England,Arsenal,2019/20
Reiss Nelson,Forward,England,Arsenal,2019/20
Dani Ceballos,Midfielder,Spain,Arsenal,2019/20
Nicolas Pépé,Forward,Cote D’Ivoire,Arsenal,2019/20
Kieran Tierney,Defender,Scotland,Arsenal,2019/20
David Luiz,Defender,Brazil,Arsenal,2019/20
Tolaji Bola,Defender,England,Arsenal,2019/20
Robbie Burton,Midfielder,Wales,Arsenal,2019/20
Folarin Balogun,Forward,United States,Arsenal,2019/20
Pablo Marí,Defender,Spain,Arsenal,2019/20
Cédric Soares,Defender,Portugal,Arsenal,2019/20
Matt Smith,Defender,England,Arsenal,2019/20
Darnell Furlong,Defender,England,West Bromwich Albion,2020/21
Kieran Gibbs,Defender,England,West Bromwich Albion,2020/21
Kyle Bartley,Defender,England,West Bromwich Albion,2020/21
Semi Ajayi,Defender,Nigeria,West Bromwich Albion,2020/21
Conor Townsend,Defender,England,West Bromwich Albion,2020/21
Ahmed Hegazy,Defender,Egypt,West Bromwich Albion,2020/21
Dara O'Shea,Defender,Ireland,West Bromwich Albion,2020/21
Jake Livermore,Midfielder,England,West Bromwich Albion,2020/21
Matt Phillips,Midfielder,Scotland,West Bromwich Albion,2020/21
Kamil Grosicki,Midfielder,Poland,West Bromwich Albion,2020/21
Rekeem Harper,Midfielder,England,West Bromwich Albion,2020/21
Oliver Burke,Midfielder,Scotland,West Bromwich Albion,2020/21
Romaine Sawyers,Midfielder,St. Kitts & Nevis,West Bromwich Albion,2020/21
Jonathan Leko,Midfielder,England,West Bromwich Albion,2020/21
Sam Field,Midfielder,England,West Bromwich Albion,2020/21
Hal Robson-Kanu,Forward,Wales,West Bromwich Albion,2020/21
Kenneth Zohore,Forward,Denmark,West Bromwich Albion,2020/21
Matheus Pereira,Forward,Brazil,West Bromwich Albion,2020/21
Charlie Austin,Forward,England,West Bromwich Albion,2020/21
Kyle Edwards,Forward,England,West Bromwich Albion,2020/21
Rayhaan Tulloch,Midfielder,England,West Bromwich Albion,2020/21
Finn Azaz,Midfielder,Ireland,West Bromwich Albion,2020/21
Grady Diangana,Midfielder,DR Congo,West Bromwich Albion,2020/21
Callum Robinson,Forward,Ireland,West Bromwich Albion,2020/21
Jonathan Bond,Goalkeeper,England,West Bromwich Albion,2020/21
Chris Brunt,Midfielder,Northern Ireland,West Bromwich Albion,2020/21
Saul Shotton,Defender,England,West Bromwich Albion,2020/21
Nathan Ferguson,Defender,England,West Bromwich Albion,2020/21
Lee Peltier,Defender,England,West Bromwich Albion,2020/21
Gareth Barry,Midfielder,England,West Bromwich Albion,2020/21
Rico Richards,Midfielder,England,West Bromwich Albion,2020/21
Cédric Kipré,Defender,Cote D’Ivoire,West Bromwich Albion,2020/21
David Button,Goalkeeper,England,West Bromwich Albion,2020/21
Branislav Ivanovic,Defender,Serbia,West Bromwich Albion,2020/21
Jamie Soule,Forward,England,West Bromwich Albion,2020/21
Conor Gallagher,Midfielder,England,West Bromwich Albion,2020/21
Filip Krovinovic,Midfielder,Croatia,West Bromwich Albion,2020/21
Karlan Grant,Forward,England,West Bromwich Albion,2020/21
Cheikh Diaby,Forward,France,West Bromwich Albion,2020/21
Andy Lonergan,Goalkeeper,England,West Bromwich Albion,2020/21
Robert Snodgrass,Midfielder,Scotland,West Bromwich Albion,2020/21
George Harmon,Defender,England,West Bromwich Albion,2020/21
Mbaye Diagne,Forward,Senegal,West Bromwich Albion,2020/21
Okay Yokuslu,Midfielder,Turkey,West Bromwich Albion,2020/21
Ainsley Maitland-Niles,Midfielder,England,West Bromwich Albion,2020/21
Caleb Taylor,Defender,England,West Bromwich Albion,2020/21
Taylor Gardner-Hickman,Midfielder,England,West Bromwich Albion,2020/21
Toby King,Midfielder,England,West Bromwich Albion,2020/21
Tim Iroegbunam,Midfielder,England,West Bromwich Albion,2020/21
William Saliba,Defender,France,Arsenal,2019/20
Jed Steer,Goalkeeper,England,Aston Villa,2019/20
Lovre Kalinic,Goalkeeper,Croatia,Aston Villa,2019/20
Mark Bunn,Goalkeeper,England,Aston Villa,2019/20
Neil Taylor,Defender,Wales,Aston Villa,2019/20
James Chester,Defender,Wales,Aston Villa,2019/20
Axel Tuanzebe,Defender,DR Congo,Aston Villa,2019/20
Alan Hutton,Defender,Scotland,Aston Villa,2019/20
Tommy Elphick,Defender,England,Aston Villa,2019/20
Ahmed El Mohamady,Defender,Egypt,Aston Villa,2019/20
Kortney Hause,Defender,England,Aston Villa,2019/20
Dominic Revan,Defender,England,Aston Villa,2019/20
Tyrone Mings,Defender,England,Aston Villa,2019/20
Glenn Whelan,Midfielder,Ireland,Aston Villa,2019/20
John McGinn,Midfielder,Scotland,Aston Villa,2019/20
Henri Lansbury,Midfielder,England,Aston Villa,2019/20
Jack Grealish,Midfielder,England,Aston Villa,2019/20
Tom Carroll,Midfielder,England,Aston Villa,2019/20
Conor Hourihane,Midfielder,Ireland,Aston Villa,2019/20
Mile Jedinak,Midfielder,Australia,Aston Villa,2019/20
Keinan Davis,Forward,England,Aston Villa,2019/20
Andre Green,Midfielder,England,Aston Villa,2019/20
Birkir Bjarnason,Midfielder,Iceland,Aston Villa,2019/20
Albert Adomah,Midfielder,Ghana,Aston Villa,2019/20
Tammy Abraham,Forward,England,Aston Villa,2019/20
Jonathan Adjo Kodjia,Forward,Cote D’Ivoire,Aston Villa,2019/20
Jota,Midfielder,Spain,Aston Villa,2019/20
Wesley,Forward,Brazil,Aston Villa,2019/20
Frédéric Guilbert,Defender,France,Aston Villa,2019/20
James Bree,Defender,England,Aston Villa,2019/20
Mitchell Clark,Defender,Wales,Aston Villa,2019/20
Jake Doyle-Hayes,Midfielder,Ireland,Aston Villa,2019/20
Callum O'Hare,Midfielder,England,Aston Villa,2019/20
Scott Hogan,Forward,Ireland,Aston Villa,2019/20
Rushian Hepburn-Murphy,Forward,England,Aston Villa,2019/20
Harry McKirdy,Forward,England,Aston Villa,2019/20
Ross McCormack,Forward,Scotland,Aston Villa,2019/20
Matt Targett,Defender,England,Aston Villa,2019/20
Anwar El Ghazi,Midfielder,Netherlands,Aston Villa,2019/20
Ezri Konsa,Defender,England,Aston Villa,2019/20
Björn Engels,Defender,Belgium,Aston Villa,2019/20
Trézéguet,Midfielder,Egypt,Aston Villa,2019/20
Douglas Luiz,Midfielder,Brazil,Aston Villa,2019/20
Tom Heaton,Goalkeeper,England,Aston Villa,2019/20
Marvelous Nakamba,Midfielder,Zimbabwe,Aston Villa,2019/20
Aaron Tshibola,Midfielder,DR Congo,Aston Villa,2019/20
Jacob Ramsey,Midfielder,England,Aston Villa,2019/20
Cameron Archer,Forward,England,Aston Villa,2019/20
Indiana Vassilev,Forward,United States,Aston Villa,2019/20
Danny Drinkwater,Midfielder,England,Aston Villa,2019/20
Pepe Reina,Goalkeeper,Spain,Aston Villa,2019/20
Mbwana Samatta,Forward,Tanzania,Aston Villa,2019/20
Matija Sarkic,Goalkeeper,Montenegro,Aston Villa,2019/20
Borja Bastón,Forward,Spain,Aston Villa,2019/20
Kaine Hayden,Midfielder,England,Aston Villa,2019/20
Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,Bournemouth,2019/20
Mark Travers,Goalkeeper,Ireland,Bournemouth,2019/20
Simon Francis,Defender,England,Bournemouth,2019/20
